                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3594,                 9.0514,                 4.0668,                      0,                      0,                      0,                      0,                 3.9503,                 11.291,                 4.0291,             0.00036481,             0.00036481,             0.00036481
                      2,                 3.8066,                 7.4017,                 3.4295,                      0,                      0,                      0,                      0,                 3.9843,                  11.53,                 4.0747,             0.00072058,             0.00072058,             0.00072058
                      3,                 3.1854,                 6.2776,                 2.9497,                0.01961,                0.05867,                0.00989,                0.00371,                 2.8759,                 12.942,                 2.7191,              0.0010617,              0.0010617,              0.0010617
                      4,                 2.9705,                 5.3033,                 2.5429,                0.43145,                0.08881,                0.03112,                0.00866,                 2.6899,                 12.076,                 2.3703,               0.001045,               0.001045,               0.001045
                      5,                 2.8748,                 4.4747,                  2.375,                0.39867,                0.06994,                0.04543,                0.01698,                 2.6613,                 6.2885,                 2.3695,               0.001045,               0.001045,               0.001045
                      6,                 2.7955,                  4.178,                 2.2575,                 0.4299,                0.13447,                 0.0583,                0.02222,                 2.4291,                 5.9074,                 2.1069,               0.001023,               0.001023,               0.001023
                      7,                 2.7168,                 3.6983,                   2.18,                0.44355,                0.16091,                0.07953,                0.02963,                 2.3744,                 4.7037,                  2.071,               0.001001,               0.001001,               0.001001
                      8,                 2.6411,                  3.345,                 2.1715,                0.49202,                 0.0989,                0.09882,                0.03651,                 2.3274,                 4.9007,                 1.9707,             0.00097901,             0.00097901,             0.00097901
                      9,                 2.5781,                 3.2058,                 2.1132,                0.44882,                0.21355,                0.15176,                0.06202,                 2.2357,                 4.6037,                  1.949,             0.00095702,             0.00095702,             0.00095702
                     10,                 2.5318,                 3.0485,                 2.0457,                0.47048,                0.19744,                0.14423,                0.05574,                 2.2303,                 4.2289,                 1.9074,             0.00093502,             0.00093502,             0.00093502
                     11,                 2.4722,                 2.8767,                 2.0156,                0.17904,                0.23053,                0.18607,                0.08479,                 2.1477,                 3.5085,                 1.8858,             0.00091302,             0.00091302,             0.00091302
                     12,                 2.4843,                 2.7991,                 2.0079,                0.26887,                0.29198,                0.18361,                0.07113,                 2.1839,                 3.5305,                 1.9308,             0.00089102,             0.00089102,             0.00089102
                     13,                 2.4197,                 2.7639,                 1.9687,                0.29085,                0.35868,                0.23321,                0.10058,                 2.2591,                 3.4074,                 1.9491,             0.00086902,             0.00086902,             0.00086902
                     14,                 2.4026,                 2.7231,                  1.964,                0.17497,                0.24453,                  0.155,                0.06668,                 2.2397,                 3.8138,                 1.9064,             0.00084703,             0.00084703,             0.00084703
                     15,                 2.3701,                 2.6266,                 1.9699,                0.48502,                0.28367,                0.23118,                0.09804,                 2.2293,                 3.0431,                 2.0083,             0.00082503,             0.00082503,             0.00082503
                     16,                 2.3488,                 2.5619,                 1.8939,                0.27467,                0.39615,                0.28885,                0.13967,                 2.0786,                 3.1139,                 1.9212,             0.00080303,             0.00080303,             0.00080303
                     17,                 2.3482,                 2.4534,                 1.9121,                0.35214,                 0.4185,                0.29975,                0.13154,                 2.0689,                 2.7795,                 1.8557,             0.00078103,             0.00078103,             0.00078103
                     18,                 2.3039,                 2.5086,                 1.8756,                0.46182,                0.37731,                0.36308,                0.16135,                  2.121,                 2.9026,                 1.9648,             0.00075904,             0.00075904,             0.00075904
                     19,                 2.2809,                 2.4344,                 1.8535,                0.39994,                0.33927,                0.33529,                0.14574,                 2.0164,                 2.7374,                 1.8256,             0.00073704,             0.00073704,             0.00073704
                     20,                 2.2637,                 2.4148,                  1.853,                0.47288,                 0.3549,                0.38483,                0.20049,                 2.0903,                 2.7332,                 1.8604,             0.00071504,             0.00071504,             0.00071504
                     21,                 2.2492,                 2.3562,                 1.8551,                0.42136,                0.36462,                0.34955,                0.17416,                 2.0102,                 2.6742,                 1.8551,             0.00069304,             0.00069304,             0.00069304
                     22,                 2.1945,                 2.3196,                 1.8044,                0.36516,                0.45263,                0.38503,                0.17829,                 2.0781,                  2.764,                 1.8293,             0.00067104,             0.00067104,             0.00067104
                     23,                 2.2353,                 2.2782,                 1.8485,                0.38849,                0.38063,                0.36868,                0.17169,                 2.1327,                 2.4351,                 1.8917,             0.00064905,             0.00064905,             0.00064905
                     24,                 2.1693,                 2.2398,                  1.778,                0.41324,                0.51446,                0.41922,                    0.2,                   2.01,                 3.0051,                 1.7816,             0.00062705,             0.00062705,             0.00062705
                     25,                 2.1797,                 2.2772,                 1.8161,                0.43559,                0.39344,                0.40854,                0.19552,                 1.9563,                 2.4404,                  1.848,             0.00060505,             0.00060505,             0.00060505
                     26,                 2.1956,                 2.2047,                  1.833,                0.44701,                0.48025,                0.41512,                 0.2165,                 1.9265,                 2.3389,                 1.7972,             0.00058305,             0.00058305,             0.00058305
                     27,                 2.1976,                 2.2542,                 1.8524,                 0.4934,                  0.438,                0.40654,                0.19699,                 1.9542,                 2.5492,                 1.8116,             0.00056105,             0.00056105,             0.00056105
                     28,                 2.1339,                 2.2181,                 1.7783,                0.42555,                0.40456,                  0.412,                0.21233,                 1.9682,                 2.4674,                 1.8104,             0.00053906,             0.00053906,             0.00053906
                     29,                 2.1387,                 2.1926,                   1.77,                0.51443,                0.44806,                0.43688,                0.21436,                 2.0081,                 2.3809,                 1.7727,             0.00051706,             0.00051706,             0.00051706
                     30,                 2.1357,                  2.158,                 1.7956,                0.45754,                 0.5036,                   0.43,                0.21736,                 1.9164,                 2.3769,                 1.7694,             0.00049506,             0.00049506,             0.00049506
                     31,                 2.1196,                 2.1294,                 1.7488,                0.38752,                0.46494,                0.40643,                0.21109,                 1.8687,                 2.3144,                 1.7535,             0.00047306,             0.00047306,             0.00047306
                     32,                 2.0977,                  2.068,                 1.7627,                0.50981,                 0.3994,                0.45161,                0.23202,                 1.9553,                 2.4256,                 1.7682,             0.00045107,             0.00045107,             0.00045107
                     33,                 2.1237,                 2.1339,                   1.74,                0.66774,                0.31413,                0.42526,                0.21787,                 1.9578,                 2.3056,                 1.7219,             0.00042907,             0.00042907,             0.00042907
                     34,                 2.0954,                 2.0774,                 1.7294,                0.44364,                0.40524,                0.41303,                0.21551,                 1.9623,                 2.2931,                 1.7746,             0.00040707,             0.00040707,             0.00040707
                     35,                 2.0459,                  2.088,                 1.7103,                0.51101,                0.38752,                 0.4288,                0.20951,                 1.9064,                 2.1989,                 1.7255,             0.00038507,             0.00038507,             0.00038507
                     36,                  2.063,                 2.1251,                 1.7367,                0.43271,                 0.4447,                0.41121,                0.20265,                 1.8983,                 2.2466,                 1.7133,             0.00036307,             0.00036307,             0.00036307
                     37,                 2.0415,                 2.0431,                 1.7079,                0.38374,                0.43912,                0.45185,                 0.2209,                 1.8738,                 2.1594,                 1.7152,             0.00034108,             0.00034108,             0.00034108
                     38,                 2.0444,                 1.9524,                 1.6811,                0.38891,                0.43363,                0.40281,                0.20132,                 1.8702,                 2.2401,                 1.6774,             0.00031908,             0.00031908,             0.00031908
                     39,                 2.0118,                 2.0166,                 1.6956,                0.41019,                0.49001,                0.46276,                0.23967,                 1.8907,                 2.0856,                 1.6954,             0.00029708,             0.00029708,             0.00029708
                     40,                 2.0074,                 1.9713,                 1.7102,                0.64948,                0.36105,                0.46757,                0.24768,                 1.9291,                 2.1381,                 1.7409,             0.00027508,             0.00027508,             0.00027508
                     41,                 2.0068,                 2.0054,                  1.706,                0.60022,                0.42403,                0.49712,                0.27105,                 1.9041,                 2.1663,                 1.6981,             0.00025309,             0.00025309,             0.00025309
                     42,                 1.9648,                 1.9692,                 1.6771,                0.41289,                 0.5242,                0.48306,                0.26478,                 1.9121,                 2.2001,                 1.7091,             0.00023109,             0.00023109,             0.00023109
                     43,                 1.9416,                 1.9504,                 1.6939,                0.58443,                0.42426,                0.45737,                0.25812,                   1.84,                 2.0986,                 1.7028,             0.00020909,             0.00020909,             0.00020909
                     44,                 1.9525,                 1.9289,                 1.6959,                0.52494,                0.40987,                0.46234,                 0.2491,                 1.9017,                 2.1824,                 1.7148,             0.00018709,             0.00018709,             0.00018709
                     45,                 1.9132,                 1.8815,                 1.6762,                0.62342,                0.42347,                 0.4645,                0.25499,                 1.9564,                 2.0614,                  1.706,             0.00016509,             0.00016509,             0.00016509
                     46,                 1.9283,                 1.8762,                 1.6947,                0.59744,                0.42477,                0.47783,                0.26826,                 1.8752,                 2.0968,                 1.7077,              0.0001431,              0.0001431,              0.0001431
                     47,                 1.9055,                 1.8861,                 1.6663,                0.53958,                0.44642,                 0.4684,                0.25699,                 1.8796,                 2.1592,                 1.6831,              0.0001211,              0.0001211,              0.0001211
                     48,                 1.9004,                 1.8477,                 1.6586,                0.49478,                0.48153,                0.45966,                 0.2451,                 1.8648,                 2.0886,                 1.6983,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                  1.923,                 1.8498,                 1.6608,                0.41632,                0.50491,                0.45535,                0.24906,                 1.8652,                  2.032,                 1.6933,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                 1.8652,                 1.8177,                 1.6308,                0.49408,                0.47588,                0.47277,                0.25834,                 1.8677,                 2.0186,                 1.6869,             5.5106e-05,             5.5106e-05,             5.5106e-05
